G, Fitness
0, 0.84545885
1, 0.7350922999999999
2, 0.6741148999999999
3, 0.5961598499999999
4, 0.5532099999999999
5, 0.5181804
6, 0.48331775
7, 0.45225820000000005
8, 0.43750360000000005
9, 0.42422060000000006
10, 0.39891410000000005
11, 0.37384800000000007
12, 0.35129555
13, 0.33438845
14, 0.32716470000000003
15, 0.3182799500000001
16, 0.31304919999999997
17, 0.30354760000000003
18, 0.29566765
19, 0.29128175000000006
20, 0.2801409
21, 0.2725758
22, 0.26967595
23, 0.2639675
24, 0.2585563
25, 0.25549345
26, 0.25186050000000004
27, 0.24919955000000002
28, 0.24604340000000002
29, 0.23686005000000007
30, 0.22934269999999998
31, 0.22096719999999997
32, 0.2129447
33, 0.20976725
34, 0.20281375000000001
35, 0.20189154999999998
36, 0.19944100000000003
37, 0.19516080000000002
38, 0.19297345000000005
39, 0.18905615000000003
40, 0.18601735000000005
41, 0.18417080000000005
42, 0.18117505000000006
43, 0.17682935000000005
44, 0.17425170000000006
45, 0.17165815
46, 0.17020375000000001
47, 0.16874885000000003
48, 0.16782895
49, 0.16757135
50, 0.16633715
51, 0.16445749999999998
52, 0.16382415
53, 0.1630854
54, 0.16154239999999995
55, 0.16017664999999998
56, 0.15855764999999997
57, 0.15747735
58, 0.15619079999999996
59, 0.15600679999999997
60, 0.15507244999999997
61, 0.15347365
62, 0.15175245
63, 0.15039055000000004
64, 0.15017355000000004
65, 0.14871915000000002
66, 0.14871915000000002
67, 0.14846335000000002
68, 0.1477887
69, 0.1467795
70, 0.14671119999999999
71, 0.1466354
72, 0.14522885000000002
73, 0.14347060000000006
74, 0.1402487
75, 0.13919815000000002
76, 0.13915590000000003
77, 0.13720654999999998
78, 0.13643960000000002
79, 0.1355892
80, 0.13525615000000002
81, 0.13417255
82, 0.13287789999999997
83, 0.1325904
84, 0.1325904
85, 0.13148405
86, 0.13007600000000002
87, 0.12923835
88, 0.12923835
89, 0.1281408
90, 0.1281408
91, 0.127643
92, 0.1268652
93, 0.12665900000000002
94, 0.1260115
95, 0.12591630000000004
96, 0.12569825000000004
97, 0.12563135000000003
98, 0.12563135000000003
99, 0.12554650000000003
100, 0.12554650000000003
101, 0.12524290000000002
102, 0.1252253
103, 0.1251779
104, 0.1251779
105, 0.12387225000000002
106, 0.12377955
107, 0.12348285
108, 0.12253530000000001
109, 0.12183560000000004
110, 0.12178655000000002
111, 0.12139350000000002
112, 0.12121320000000002
113, 0.12058595000000003
114, 0.12046040000000002
115, 0.12031585000000003
116, 0.12020125000000004
117, 0.11951690000000004
118, 0.11891290000000002
119, 0.1188782
