G, Fitness
0, 0.603185
1, 0.598287
2, 0.564947
3, 0.535911
4, 0.497382
5, 0.497382
6, 0.486875
7, 0.468816
8, 0.468816
9, 0.466044
10, 0.440367
11, 0.440367
12, 0.390848
13, 0.382247
14, 0.367364
15, 0.343165
16, 0.269212
17, 0.268277
18, 0.267041
19, 0.253966
20, 0.253966
21, 0.247829
22, 0.247829
23, 0.234238
24, 0.202116
25, 0.200682
26, 0.192224
27, 0.192224
28, 0.176688
29, 0.176688
30, 0.176688
31, 0.1745
32, 0.165962
33, 0.165962
34, 0.146389
35, 0.134909
36, 0.134909
37, 0.134909
38, 0.134909
39, 0.133591
40, 0.133591
41, 0.133591
42, 0.132722
43, 0.132722
44, 0.132722
45, 0.132722
46, 0.132722
47, 0.132711
48, 0.127715
49, 0.127715
50, 0.127715
51, 0.127325
52, 0.127325
53, 0.127325
54, 0.126229
55, 0.126229
56, 0.126164
57, 0.126164
58, 0.124568
59, 0.124568
60, 0.124568
61, 0.124568
62, 0.124568
63, 0.124568
64, 0.124568
65, 0.124255
66, 0.123042
67, 0.123042
68, 0.123042
69, 0.122118
70, 0.122118
71, 0.122118
72, 0.121882
73, 0.121882
74, 0.121882
75, 0.121882
76, 0.121882
77, 0.121882
78, 0.121882
79, 0.121845
80, 0.121845
81, 0.121845
82, 0.121845
83, 0.121845
84, 0.121845
85, 0.121845
86, 0.121845
87, 0.121608
88, 0.121608
89, 0.121608
90, 0.121608
91, 0.121608
92, 0.121608
93, 0.121608
94, 0.121608
95, 0.121608
96, 0.121302
97, 0.117271
98, 0.117271
99, 0.117271
100, 0.117271
101, 0.117271
102, 0.117271
103, 0.117271
104, 0.117271
105, 0.11656
106, 0.11656
107, 0.11656
108, 0.11656
109, 0.11656
110, 0.11656
111, 0.11656
112, 0.11656
113, 0.11656
114, 0.11656
115, 0.11656
116, 0.11656
117, 0.11656
118, 0.11656
119, 0.11656
